2000, 10000, 0, 1.0, 185
2000, 10000, 1, 0.0, 10000
2000, 10000, 2, 1.0, 1142
2000, 10000, 3, 1.0, 9486
2000, 10000, 4, 1.0, 378
2000, 10000, 5, 1.0, 635
2000, 10000, 6, 1.0, 59
2000, 10000, 7, 1.0, 2948
2000, 10000, 8, 0.0, 10000
2000, 10000, 9, 1.0, 9791
4000, 20000, 0, 1.0, 2493
4000, 20000, 1, 1.0, 6535
4000, 20000, 2, 0.0, 20000
4000, 20000, 3, 1.0, 135
4000, 20000, 4, 1.0, 14660
4000, 20000, 5, 1.0, 7101
4000, 20000, 6, 1.0, 1
4000, 20000, 7, 1.0, 10176
4000, 20000, 8, 1.0, 418
4000, 20000, 9, 1.0, 6448
6000, 30000, 0, 1.0, 1792
6000, 30000, 1, 1.0, 9957
6000, 30000, 2, 0.0, 20000
6000, 30000, 3, 1.0, 2953
6000, 30000, 4, 1.0, 9559
6000, 30000, 5, 1.0, 10760
6000, 30000, 6, 1.0, 1540
6000, 30000, 7, 0.0, 20000
6000, 30000, 8, 1.0, 10318
6000, 30000, 9, 1.0, 7929
8000, 40000, 0, 1.0, 887
8000, 40000, 1, 1.0, 2955
8000, 40000, 2, 1.0, 74
8000, 40000, 3, 1.0, 9
8000, 40000, 4, 0.0, 20000
8000, 40000, 5, 1.0, 10942
8000, 40000, 6, 0.0, 20000
8000, 40000, 7, 1.0, 587
8000, 40000, 8, 1.0, 3157
8000, 40000, 9, 1.0, 1779
10000, 50000, 0, 1.0, 5251
10000, 50000, 1, 1.0, 5348
10000, 50000, 2, 1.0, 7184
10000, 50000, 3, 1.0, 3565
10000, 50000, 4, 1.0, 30
10000, 50000, 5, 1.0, 1809
10000, 50000, 6, 1.0, 4004
10000, 50000, 7, 1.0, 1
10000, 50000, 8, 0.0, 20000
10000, 50000, 9, 1.0, 1178
12000, 60000, 0, 1.0, 4577
12000, 60000, 1, 0.0, 20000
12000, 60000, 2, 0.0, 20000
12000, 60000, 3, 1.0, 3416
12000, 60000, 4, 1.0, 582
12000, 60000, 5, 0.0, 20000
12000, 60000, 6, 0.0, 20000
12000, 60000, 7, 0.0, 20000
12000, 60000, 8, 0.0, 20000
12000, 60000, 9, 1.0, 230
14000, 70000, 0, 1.0, 3135
14000, 70000, 1, 1.0, 4214
14000, 70000, 2, 0.0, 20000
14000, 70000, 3, 1.0, 7577
14000, 70000, 4, 0.0, 20000
14000, 70000, 5, 0.0, 20000
14000, 70000, 6, 0.0, 20000
14000, 70000, 7, 0.0, 20000
14000, 70000, 8, 0.0, 20000
14000, 70000, 9, 0.0, 20000
16000, 80000, 0, 0.0, 20000
16000, 80000, 1, 0.0, 20000
16000, 80000, 2, 1.0, 3380
16000, 80000, 3, 0.0, 20000
16000, 80000, 4, 1.0, 3102
16000, 80000, 5, 1.0, 1905
16000, 80000, 6, 1.0, 10969
16000, 80000, 7, 1.0, 38
16000, 80000, 8, 0.0, 20000
16000, 80000, 9, 0.0, 20000
18000, 90000, 0, 1.0, 64
18000, 90000, 1, 0.0, 20000
18000, 90000, 2, 0.0, 20000
18000, 90000, 3, 1.0, 1796
18000, 90000, 4, 0.0, 20000
18000, 90000, 5, 1.0, 274
18000, 90000, 6, 0.0, 20000
18000, 90000, 7, 0.0, 20000
18000, 90000, 8, 0.0, 20000
18000, 90000, 9, 0.0, 20000
20000, 100000, 0, 0.0, 20000
20000, 100000, 1, 0.0, 20000
20000, 100000, 2, 0.0, 20000
20000, 100000, 3, 0.0, 20000
20000, 100000, 4, 1.0, 12278
20000, 100000, 5, 0.0, 20000
20000, 100000, 6, 1.0, 9641
20000, 100000, 7, 0.0, 20000
20000, 100000, 8, 0.0, 20000
20000, 100000, 9, 0.0, 20000
